center,max,min,mean
207.055,0.475237,0.475237,0.475237
207.081,0.344482,0.344482,0.344482
207.107,0.322759,0.322759,0.322759
208.026,0.48592,0.48592,0.48592
208.052,0.660047,0.660047,0.660047
208.078,0.317095,0.317095,0.317095
208.078,0.345999,0.345999,0.345999
210.184,0.158384,0.158384,0.158384
212.06,19.8444,19.8444,19.8444
212.086,14.1438,14.1438,14.1438
212.113,6.36852,6.36852,6.36852
212.113,13.3763,13.3763,13.3763
213.067,1.65924,1.65924,1.65924
213.093,1.47971,1.47971,1.47971
213.093,1.40786,1.40786,1.40786
213.12,0.699276,0.699276,0.699276
214.076,0.215371,0.215371,0.215371
214.129,0.309029,0.309029,0.309029
214.129,0.142583,0.142583,0.142583
214.129,0.222605,0.222605,0.222605
216.259,0.90034,0.90034,0.90034
216.313,0.71256,0.71256,0.71256
216.366,0.55725,0.55725,0.55725
216.366,0.727731,0.727731,0.727731
220.25,0.289875,0.289875,0.289875
221.111,0.161746,0.161746,0.161746
222.001,4.12906,4.12906,4.12906
222.055,3.59138,3.59138,3.59138
222.055,3.37096,3.37096,3.37096
222.081,4.28354,4.28354,4.28354
222.999,0.349921,0.349921,0.349921
223.026,0.380119,0.380119,0.380119
223.053,0.356984,0.356984,0.356984
223.081,0.405612,0.405612,0.405612
224,0.526148,0.526148,0.526148
224.163,0.786348,0.786348,0.786348
224.19,0.874615,0.874615,0.874615
224.19,1.30073,1.30073,1.30073
225.003,0.128744,0.128744,0.128744
225.03,0.202232,0.202232,0.202232
225.193,0.169196,0.169196,0.169196
226.116,0.128627,0.128627,0.128627
226.17,0.243834,0.243834,0.243834
226.17,0.249476,0.249476,0.249476
226.197,0.286277,0.286277,0.286277
228.049,7.96563,7.96563,7.96563
228.076,5.69576,5.69576,5.69576
228.076,7.2209,7.2209,7.2209
228.103,3.47624,3.47624,3.47624
229.031,0.651432,0.651432,0.651432
229.059,0.577628,0.577628,0.577628
229.086,0.808993,0.808993,0.808993
229.086,0.393485,0.393485,0.393485
230.043,0.510274,0.510274,0.510274
230.071,0.322226,0.322226,0.322226
230.071,0.609081,0.609081,0.609081
230.071,0.520819,0.520819,0.520819
231.167,0.214354,0.214354,0.214354
231.194,0.353082,0.353082,0.353082
231.221,0.236337,0.236337,0.236337
231.221,0.166718,0.166718,0.166718
232.237,0.611451,0.611451,0.611451
232.32,0.374454,0.374454,0.374454
232.32,0.53941,0.53941,0.53941
232.347,0.545151,0.545151,0.545151
233.227,0.236871,0.236871,0.236871
234.026,26.9472,26.9472,26.9472
234.054,17.6269,17.6269,17.6269
234.081,7.85777,7.85777,7.85777
234.081,15.2402,15.2402,15.2402
235.047,2.6507,2.6507,2.6507
235.075,2.25341,2.25341,2.25341
235.102,0.992946,0.992946,0.992946
235.102,1.68773,1.68773,1.68773
236.18,0.468138,0.468138,0.468138
236.208,0.796585,0.796585,0.796585
236.236,0.69672,0.69672,0.69672
236.236,0.364276,0.364276,0.364276
238.12,0.120041,0.120041,0.120041
238.204,0.276182,0.276182,0.276182
238.204,0.228254,0.228254,0.228254
240.207,0.199753,0.199753,0.199753
241.183,0.273855,0.273855,0.273855
241.211,0.453845,0.453845,0.453845
241.239,0.223452,0.223452,0.223452
241.239,0.185624,0.185624,0.185624
244.009,0.468291,0.468291,0.468291
244.037,0.65187,0.65187,0.65187
244.065,0.316702,0.316702,0.316702
244.065,0.322379,0.322379,0.322379
245.188,0.225319,0.225319,0.225319
245.188,0.122036,0.122036,0.122036
246.116,0.378273,0.378273,0.378273
246.172,0.496409,0.496409,0.496409
246.201,0.621652,0.621652,0.621652
246.201,0.692631,0.692631,0.692631
247.187,0.198998,0.198998,0.198998
247.215,0.187461,0.187461,0.187461
247.243,0.219237,0.219237,0.219237
247.243,0.411296,0.411296,0.411296
248.175,0.224491,0.224491,0.224491
248.175,0.244528,0.244528,0.244528
248.175,0.191436,0.191436,0.191436
250.014,37.7312,37.7312,37.7312
250.042,21.6723,21.6723,21.6723
250.07,22.6669,22.6669,22.6669
250.07,13.1582,13.1582,13.1582
251.006,3.54898,3.54898,3.54898
251.063,1.66148,1.66148,1.66148
251.063,2.82613,2.82613,2.82613
251.063,2.72351,2.72351,2.72351
252.029,2.47402,2.47402,2.47402
252.057,1.91136,1.91136,1.91136
252.057,1.16236,1.16236,1.16236
252.057,1.99367,1.99367,1.99367
253.025,0.254719,0.254719,0.254719
253.053,0.257757,0.257757,0.257757
253.082,0.246542,0.246542,0.246542
253.082,0.169495,0.169495,0.169495
256.022,0.623013,0.623013,0.623013
256.051,0.521191,0.521191,0.521191
256.079,0.457895,0.457895,0.457895
256.079,0.286808,0.286808,0.286808
258.144,0.330949,0.330949,0.330949
258.201,0.526186,0.526186,0.526186
258.201,0.531842,0.531842,0.531842
258.201,0.524151,0.524151,0.524151
260.157,0.164549,0.164549,0.164549
262.091,0.203071,0.203071,0.203071
262.177,0.631258,0.631258,0.631258
262.177,0.426881,0.426881,0.426881
262.177,0.295889,0.295889,0.295889
263.364,0.142015,0.142015,0.142015
263.364,0.306696,0.306696,0.306696
264.175,0.247031,0.247031,0.247031
264.175,0.20931,0.20931,0.20931
265.976,21.6958,21.6958,21.6958
266.034,15.7582,15.7582,15.7582
266.034,12.677,12.677,12.677
266.063,11.7259,11.7259,11.7259
266.994,2.02955,2.02955,2.02955
267.023,1.5326,1.5326,1.5326
267.053,1.42081,1.42081,1.42081
267.053,1.83933,1.83933,1.83933
267.986,2.74665,2.74665,2.74665
268.015,2.02005,2.02005,2.02005
268.044,1.89154,1.89154,1.89154
268.044,2.47013,2.47013,2.47013
268.978,0.249148,0.249148,0.249148
269.037,0.297003,0.297003,0.297003
269.037,0.246126,0.246126,0.246126
269.066,0.231734,0.231734,0.231734
269.417,0.132604,0.132604,0.132604
269.446,0.210438,0.210438,0.210438
270.09,0.125074,0.125074,0.125074
270.119,0.170095,0.170095,0.170095
271.115,1.40444,1.40444,1.40444
271.144,0.891948,0.891948,0.891948
271.144,1.83402,1.83402,1.83402
271.174,0.558841,0.558841,0.558841
271.995,0.967092,0.967092,0.967092
272.054,0.766564,0.766564,0.766564
272.054,0.485607,0.485607,0.485607
272.054,0.731621,0.731621,0.731621
272.994,0.152092,0.152092,0.152092
273.082,0.143097,0.143097,0.143097
273.082,0.179326,0.179326,0.179326
273.141,0.212774,0.212774,0.212774
275.174,0.226073,0.226073,0.226073
275.233,0.332404,0.332404,0.332404
275.233,0.368445,0.368445,0.368445
275.233,0.248667,0.248667,0.248667
277.331,0.249997,0.249997,0.249997
280.12,0.341433,0.341433,0.341433
280.179,0.526653,0.526653,0.526653
280.179,0.572652,0.572652,0.572652
280.179,0.485931,0.485931,0.485931
283.04,0.109465,0.109465,0.109465
285.553,0.114643,0.114643,0.114643
287.955,0.458903,0.458903,0.458903
288.016,0.390727,0.390727,0.390727
288.016,0.486519,0.486519,0.486519
288.046,0.370897,0.370897,0.370897
289.009,0.120473,0.120473,0.120473
289.19,0.220652,0.220652,0.220652
290.185,0.141013,0.141013,0.141013
291.091,0.350741,0.350741,0.350741
291.152,0.323598,0.323598,0.323598
291.152,0.562392,0.562392,0.562392
291.182,0.226187,0.226187,0.226187
292.241,0.148084,0.148084,0.148084
293.089,1.28459,1.28459,1.28459
293.149,0.485429,0.485429,0.485429
293.149,1.8664,1.8664,1.8664
293.149,0.73699,0.73699,0.73699
294.09,0.151373,0.151373,0.151373
294.15,0.248499,0.248499,0.248499
